,coefficient,standard_error,statistic,p_value,significant_0.05,exp_coefficient
intercept,1.5999421568287637,0.3614273432672723,4.426732472328804,9.567126643648029e-06,True,4.9527459335783
curb_weight_100,-0.027192598042895404,0.011291910458355118,-2.408148571774676,0.016033654554010606,True,0.973173792105964
drive_fwd,0.09082759545885212,0.2232490221811203,0.4068443147991231,0.6841223368144409,False,1.0950801921847637
drive_rwd,0.2079606924444328,0.22815371445739757,0.9114937836493766,0.36203525949763427,False,1.2311647745199419
